Title,Author,Per_Small,Per_Medium,Per_Large,little,without,other,nothing,again,before,these,least,about,those,though,after,through,together,where,under,never,right,first,always,great,there,others,still
cast,alger,48.67,30.11,21.22,0.1131,0.0628,0.0700,0.0898,0.0449,0.0826,0.0449,0.0162,0.2728,0.0323,0.0539,0.1023,0.0592,0.0233,0.1598,0.0413,0.0844,0.1041,0.0736,0.0556,0.0431,0.3626,0.0126,0.0664
ragged,alger,47.02,31.98,21.00,0.2224,0.0741,0.1144,0.0614,0.0614,0.1588,0.0508,0.0127,0.2266,0.0212,0.0529,0.1038,0.0254,0.0233,0.1758,0.0127,0.1228,0.0995,0.0953,0.0805,0.0720,0.3812,0.0169,0.0318
struggling,alger,47.65,29.50,22.85,0.1212,0.0567,0.0958,0.0665,0.0411,0.0841,0.0254,0.0117,0.2288,0.0293,0.1076,0.1271,0.0196,0.0215,0.1271,0.0508,0.0626,0.0958,0.0782,0.0508,0.0684,0.3168,0.0117,0.0469
history,aristotle,45.73,30.79,23.49,0.1129,0.0703,0.3869,0.0182,0.1161,0.0632,0.4067,0.0142,0.1745,0.1216,0.0687,0.2480,0.0695,0.0592,0.1003,0.1019,0.0774,0.0482,0.1271,0.0284,0.1011,0.3372,0.1856,0.0221
meteorology,aristotle,46.42,30.41,23.17,0.0673,0.0487,0.2506,0.0348,0.1787,0.1160,0.3875,0.0116,0.1160,0.2553,0.0835,0.0766,0.0998,0.0394,0.1346,0.0394,0.0209,0.0232,0.1299,0.1276,0.1439,0.3945,0.0835,0.0278
nicomachean,aristotle,47.79,27.29,24.93,0.0451,0.1164,0.4096,0.0879,0.0867,0.0451,0.4452,0.0368,0.1793,0.3977,0.0795,0.0261,0.0297,0.0522,0.0309,0.0356,0.0178,0.1757,0.0831,0.0558,0.0784,0.3016,0.1722,0.0261
emma,austen,46.49,29.79,23.72,0.2295,0.1360,0.1399,0.1602,0.1373,0.1564,0.0420,0.0534,0.1583,0.0604,0.1125,0.1023,0.0388,0.0509,0.0553,0.0400,0.2276,0.0559,0.1316,0.1513,0.1678,0.3484,0.0375,0.0731
northanger,austen,45.87,27.75,26.37,0.1339,0.1443,0.1508,0.1456,0.1157,0.1885,0.0650,0.0546,0.1495,0.0468,0.1560,0.1508,0.0637,0.0546,0.0663,0.0312,0.2054,0.0338,0.1352,0.1131,0.1261,0.2730,0.0338,0.0650
persuasion,austen,45.58,28.63,25.79,0.2120,0.1301,0.1722,0.1662,0.1590,0.1397,0.0626,0.0506,0.1168,0.0867,0.1409,0.1156,0.0409,0.0650,0.0614,0.0518,0.1855,0.0506,0.1337,0.1325,0.1554,0.3444,0.0650,0.0879
pride,austen,45.43,28.04,26.53,0.1543,0.1404,0.1732,0.1461,0.1461,0.1880,0.0575,0.0525,0.1026,0.0476,0.1855,0.1683,0.0345,0.0534,0.0772,0.0271,0.1806,0.0304,0.1248,0.0985,0.1166,0.2865,0.0443,0.0607
sense,austen,45.85,27.33,26.83,0.1327,0.1468,0.1677,0.1560,0.1210,0.1669,0.0559,0.0584,0.1226,0.0425,0.1802,0.1685,0.0317,0.0592,0.0759,0.0451,0.1577,0.0275,0.1343,0.1035,0.1243,0.2011,0.0501,0.0834
alices,carroll,46.49,34.38,19.14,0.5063,0.0989,0.1582,0.1187,0.3244,0.1503,0.0554,0.0356,0.3719,0.0396,0.0514,0.1582,0.0475,0.0356,0.0514,0.0633,0.1780,0.1187,0.1978,0.0514,0.1543,0.3481,0.0277,0.0514
hunting,carroll,44.51,32.82,22.67,0.0402,0.1206,0.1005,0.0603,0.1206,0.1608,0.0402,0.0804,0.1005,0.1005,0.1809,0.0804,0.0201,0.0201,0.0402,0.0201,0.2010,0.1005,0.1206,0.1005,0.0201,0.1809,0.0603,0.0603
through,carroll,46.09,35.00,18.91,0.4197,0.0682,0.2260,0.0933,0.2798,0.1112,0.0251,0.0287,0.2404,0.0323,0.0789,0.1507,0.1507,0.0430,0.0538,0.0789,0.1973,0.0646,0.1112,0.1076,0.1758,0.4054,0.0072,0.0717
alexanders,cather,46.92,30.18,22.91,0.2738,0.0772,0.0878,0.0737,0.1369,0.1685,0.0491,0.0211,0.4107,0.0702,0.0491,0.1966,0.1790,0.0421,0.1404,0.1018,0.1790,0.0105,0.1369,0.2176,0.1299,0.5722,0.0070,0.1229
o,cather,46.81,33.53,19.66,0.2730,0.0673,0.1110,0.0764,0.1092,0.1547,0.0510,0.0164,0.4732,0.0473,0.0419,0.1347,0.0892,0.0564,0.1729,0.0710,0.2075,0.0764,0.0892,0.1802,0.0582,0.4478,0.0073,0.0874
song,cather,46.07,31.93,21.99,0.2335,0.0632,0.1171,0.0745,0.1084,0.1643,0.0552,0.0206,0.4071,0.0579,0.0392,0.1789,0.0971,0.0333,0.1177,0.1104,0.2282,0.0891,0.1390,0.2142,0.0911,0.4557,0.0140,0.0838
childs,dickens,44.08,30.04,25.87,0.1283,0.0745,0.1460,0.0751,0.1185,0.1350,0.1423,0.0110,0.1264,0.1160,0.0739,0.1454,0.0953,0.0434,0.1441,0.1081,0.0953,0.0409,0.1179,0.0482,0.3445,0.3042,0.0360,0.0782
christmas,dickens,45.07,31.63,23.29,0.2334,0.0693,0.1349,0.1058,0.1714,0.2079,0.1058,0.0146,0.1896,0.0474,0.1167,0.0766,0.1240,0.0438,0.1276,0.0219,0.1349,0.0474,0.1021,0.0620,0.1167,0.4486,0.0036,0.0620
tale,dickens,46.41,29.40,24.19,0.1986,0.0784,0.1344,0.1112,0.1702,0.1725,0.1381,0.0149,0.1202,0.0821,0.0747,0.1030,0.1195,0.0455,0.1187,0.1045,0.1441,0.0373,0.0866,0.0762,0.1202,0.4293,0.0239,0.0732
adventures,doyle,47.61,30.52,21.86,0.2616,0.0710,0.1420,0.1041,0.0671,0.1585,0.0778,0.0350,0.1624,0.0642,0.0613,0.0953,0.0885,0.0340,0.1138,0.0409,0.1021,0.0924,0.0827,0.0554,0.0584,0.4912,0.0175,0.0778
his,doyle,46.62,29.72,23.67,0.1212,0.0597,0.1144,0.1400,0.0666,0.1894,0.0836,0.0205,0.1451,0.0427,0.0341,0.1417,0.0768,0.0529,0.0887,0.0341,0.1144,0.0410,0.1075,0.0375,0.0751,0.5240,0.0256,0.0666
memoirs,doyle,47.66,30.15,22.19,0.1751,0.0696,0.1487,0.1065,0.1034,0.1698,0.1076,0.0338,0.1909,0.0591,0.0612,0.1181,0.0823,0.0454,0.1319,0.0517,0.1382,0.0475,0.1234,0.0454,0.0517,0.4399,0.0179,0.0897
conduct,emerson,46.77,27.53,25.71,0.0746,0.0910,0.1522,0.0761,0.0269,0.0388,0.1850,0.0239,0.0373,0.0791,0.0641,0.0597,0.1029,0.0179,0.0910,0.0522,0.0985,0.0746,0.0865,0.0880,0.1343,0.3461,0.0343,0.0507
english,emerson,44.16,26.69,29.15,0.0563,0.0782,0.1673,0.0625,0.0360,0.0657,0.2142,0.0156,0.0578,0.0766,0.0610,0.0750,0.0625,0.0141,0.1016,0.0391,0.1188,0.0610,0.0735,0.0453,0.1266,0.2017,0.0250,0.0688
representative,emerson,46.30,25.59,28.10,0.0646,0.1037,0.2313,0.0986,0.0527,0.0629,0.2568,0.0153,0.0527,0.1003,0.0680,0.0714,0.1241,0.0051,0.0663,0.0629,0.1394,0.0476,0.0935,0.0510,0.1871,0.2908,0.0493,0.0748
earths,hawthorne,42.23,29.24,28.53,0.1889,0.1080,0.1889,0.0675,0.0405,0.0675,0.2699,0.0135,0.0405,0.1619,0.0675,0.0270,0.0135,0.1080,0.0540,0.0270,0.0675,0.0135,0.1215,0.0135,0.1484,0.3644,0.0270,0.0675
house,hawthorne,43.69,27.62,28.69,0.2504,0.0927,0.1567,0.0774,0.0755,0.1061,0.1644,0.0420,0.1367,0.0784,0.0545,0.1261,0.1443,0.0468,0.0784,0.0573,0.1376,0.0373,0.0841,0.0468,0.1271,0.3574,0.0124,0.1099
my,hawthorne,43.43,28.00,28.57,0.2430,0.0540,0.1215,0.0405,0.0675,0.1890,0.0810,0.0270,0.0540,0.1350,0.0540,0.0945,0.0810,0.0135,0.0540,0.0540,0.0270,0.0540,0.0675,0.0135,0.1215,0.2430,0.0540,0.0540
scarlet,hawthorne,43.35,28.50,28.14,0.2885,0.0715,0.2007,0.0640,0.0803,0.1480,0.1593,0.0276,0.1104,0.0815,0.0715,0.1066,0.1192,0.0376,0.0916,0.0527,0.1254,0.0276,0.0715,0.0427,0.0728,0.3550,0.0125,0.1154
alhambra,irving,44.36,26.17,29.47,0.1693,0.0525,0.1026,0.0784,0.0434,0.0859,0.1743,0.0125,0.1643,0.0942,0.0867,0.0801,0.1193,0.0275,0.1184,0.0851,0.0709,0.0209,0.0559,0.0384,0.1518,0.1943,0.0334,0.0951
legend,irving,43.56,28.39,28.05,0.1970,0.0685,0.1114,0.0171,0.0086,0.1285,0.1199,0.0257,0.2313,0.1371,0.0685,0.0771,0.1028,0.0428,0.1628,0.1114,0.0343,0.0086,0.0257,0.0771,0.1542,0.2570,0.0428,0.1199
spectre,irving,45.12,26.56,28.32,0.2482,0.1064,0.1241,0.0709,0.0709,0.0532,0.0887,0.0177,0.2482,0.1064,0.1241,0.0177,0.0355,0.0177,0.0709,0.0887,0.1064,0.0177,0.0532,0.0532,0.2305,0.3014,0.0355,0.1950
addresses,jefferson,42.72,23.54,33.75,0.0387,0.1015,0.2465,0.0290,0.0242,0.1595,0.3190,0.0145,0.0290,0.3528,0.0242,0.0580,0.0580,0.0290,0.0967,0.2030,0.0338,0.0822,0.1112,0.0097,0.1305,0.0725,0.1063,0.0967
autobiography,jefferson,43.94,24.27,31.79,0.0634,0.1470,0.2129,0.0532,0.0532,0.0811,0.2509,0.0076,0.0684,0.1698,0.0025,0.0862,0.0152,0.0253,0.0912,0.0836,0.0735,0.0811,0.1394,0.0203,0.1343,0.1901,0.0583,0.0431
miscellany,jefferson,43.04,29.12,27.83,0.1370,0.0934,0.2117,0.0664,0.0519,0.0893,0.3280,0.0208,0.2076,0.1723,0.0457,0.0727,0.0851,0.0415,0.1349,0.0934,0.1100,0.0415,0.1702,0.0560,0.1412,0.3778,0.0498,0.0789
critique,kant,46.23,21.86,31.92,0.0146,0.1603,0.1894,0.0901,0.0331,0.0225,0.1762,0.0543,0.0384,0.0781,0.0874,0.0199,0.0861,0.0119,0.1378,0.1113,0.0450,0.0199,0.1126,0.0795,0.0649,0.1868,0.0887,0.1351
critique,kant,45.51,21.22,33.27,0.0207,0.2156,0.3080,0.1545,0.0188,0.0462,0.3157,0.0510,0.0159,0.0919,0.0375,0.0332,0.0813,0.0183,0.0294,0.1121,0.0943,0.0289,0.0982,0.1246,0.0399,0.1833,0.0303,0.0645
fundamental,kant,45.00,24.81,30.19,0.0163,0.2185,0.2707,0.1207,0.0294,0.0261,0.1826,0.0783,0.0228,0.0815,0.0587,0.0228,0.0359,0.0163,0.0261,0.0978,0.1239,0.0326,0.1011,0.1272,0.0326,0.2250,0.0913,0.0587
science,kant,46.90,23.28,29.82,0.0077,0.1428,0.3570,0.0463,0.0714,0.0521,0.1235,0.0289,0.0270,0.0714,0.0039,0.0482,0.0328,0.0116,0.0193,0.2355,0.0367,1.1696,0.0907,0.0560,0.0251,0.2277,0.1004,0.0656
cratylus,plato,48.81,28.86,22.33,0.0377,0.0168,0.3313,0.0755,0.1007,0.0503,0.1342,0.0084,0.2181,0.0923,0.0126,0.0671,0.0545,0.0419,0.0210,0.0336,0.0336,0.1636,0.1761,0.1468,0.0839,0.5326,0.0797,0.0881
laches,plato,51.65,26.57,21.77,0.0391,0.0098,0.3026,0.0195,0.0293,0.0195,0.1464,0.0098,0.4100,0.1172,0.0195,0.0488,0.0098,0.0195,0.0195,0.0683,0.0976,0.0683,0.1562,0.0586,0.1074,0.2636,0.1074,0.0195
phaedo,plato,47.65,31.18,21.17,0.0222,0.0443,0.4249,0.0924,0.1404,0.1589,0.1737,0.0259,0.1995,0.0850,0.0369,0.1700,0.0813,0.0369,0.0259,0.0443,0.1367,0.0554,0.1035,0.1293,0.0776,0.5210,0.0628,0.0887
across,stevenson,46.00,28.15,25.85,0.1902,0.0886,0.1757,0.0645,0.0838,0.0870,0.2578,0.0677,0.1289,0.0628,0.0774,0.1241,0.0999,0.0371,0.1225,0.0822,0.0999,0.0290,0.0902,0.0403,0.1338,0.4013,0.0387,0.1483
catriona,stevenson,49.68,31.33,18.99,0.1942,0.0588,0.1167,0.0736,0.1569,0.1501,0.1295,0.0598,0.1491,0.0314,0.0716,0.0912,0.0530,0.0402,0.1716,0.0500,0.1618,0.0490,0.1275,0.0383,0.1167,0.4904,0.0196,0.0843
new,stevenson,47.28,27.38,25.34,0.1562,0.1068,0.1592,0.0821,0.0870,0.1810,0.1206,0.0583,0.1206,0.0425,0.0574,0.1117,0.0603,0.0445,0.1009,0.0633,0.0771,0.0405,0.0712,0.0267,0.1157,0.2739,0.0277,0.1285
adventures,twain,47.57,31.68,20.74,0.2066,0.0650,0.1445,0.0737,0.1820,0.1430,0.0693,0.0231,0.2383,0.0303,0.0246,0.1343,0.1358,0.0448,0.1069,0.1257,0.1863,0.1300,0.0549,0.0997,0.0982,0.4738,0.0101,0.0953
adventures,twain,53.77,31.85,14.38,0.1862,0.0408,0.1028,0.1603,0.1668,0.1482,0.0649,0.0065,0.3910,0.0009,0.0324,0.1306,0.0778,0.0213,0.1408,0.0741,0.1779,0.2715,0.0936,0.0880,0.0093,0.5828,0.0139,0.0686
prince,twain,44.94,30.55,24.50,0.2098,0.0665,0.1566,0.0517,0.1654,0.1329,0.1787,0.0103,0.2039,0.0207,0.0251,0.1418,0.1064,0.0414,0.0872,0.0561,0.0517,0.0620,0.0812,0.0399,0.1477,0.2703,0.0207,0.1197
puddnhead,twain,48.90,29.69,21.41,0.1257,0.0746,0.1630,0.0766,0.1394,0.1433,0.1257,0.0196,0.1826,0.0432,0.0137,0.1159,0.0746,0.0196,0.0589,0.0707,0.1257,0.1080,0.0766,0.0491,0.0943,0.3142,0.0216,0.0864
invisible,wells,46.06,29.17,24.76,0.2425,0.0439,0.0732,0.0815,0.2467,0.1233,0.0648,0.0125,0.2362,0.0585,0.0460,0.1568,0.1505,0.0355,0.0878,0.0857,0.0439,0.0690,0.1024,0.0188,0.0606,0.4098,0.0230,0.1401
time,wells,45.32,28.93,25.74,0.3475,0.0438,0.1127,0.0407,0.1910,0.1503,0.2317,0.0250,0.2160,0.0532,0.0564,0.1033,0.1503,0.0250,0.0877,0.1002,0.0626,0.0438,0.1503,0.0313,0.1315,0.3757,0.0376,0.1565
war,wells,44.05,28.72,27.23,0.1871,0.0635,0.0978,0.0875,0.1785,0.1219,0.1854,0.0206,0.2970,0.0961,0.0446,0.1682,0.2026,0.0275,0.0652,0.1167,0.0378,0.0309,0.1511,0.0103,0.0841,0.4463,0.0172,0.1579
